,"mat, 0","mat, 1","mat, 2","mat, 3","mat, 4","mat, 5","mat, 6","mat, 7","mat, 8","mat, 9"
"mat, 0",1.0,0.4247777760028839,0.43569883704185486,0.48005354404449463,0.5891963243484497,0.5488772392272949,0.1894773691892624,0.4328150749206543,0.09791667759418488,0.04360469430685043
"mat, 1",0.4247777760028839,1.0000001192092896,0.46136733889579773,0.5695998668670654,0.7024115324020386,0.6056180596351624,0.2553030252456665,0.5298223495483398,0.15354090929031372,0.06879057735204697
"mat, 2",0.43569883704185486,0.46136733889579773,1.0,0.43525975942611694,0.5497102737426758,0.4259727895259857,0.27286624908447266,0.37836819887161255,0.06702923774719238,0.08929375559091568
"mat, 3",0.48005354404449463,0.5695998668670654,0.43525975942611694,1.000000238418579,0.7542688846588135,0.7300108671188354,0.3405632972717285,0.6059885025024414,0.14171908795833588,0.07057034224271774
"mat, 4",0.5891963243484497,0.7024115324020386,0.5497102737426758,0.7542688846588135,1.0,0.7427318096160889,0.31325897574424744,0.682939887046814,0.10215632617473602,0.05912165716290474
"mat, 5",0.5488772392272949,0.6056180596351624,0.4259727895259857,0.7300108671188354,0.7427318096160889,0.9999999403953552,0.38735347986221313,0.6046726703643799,0.2031860649585724,0.0831921249628067
"mat, 6",0.1894773691892624,0.2553030252456665,0.27286624908447266,0.3405632972717285,0.31325897574424744,0.38735347986221313,1.0000001192092896,0.3223048150539398,0.32807353138923645,0.23363783955574036
"mat, 7",0.4328150749206543,0.5298223495483398,0.37836819887161255,0.6059885025024414,0.682939887046814,0.6046726703643799,0.3223048150539398,0.9999998807907104,0.2564448118209839,0.10355079174041748
"mat, 8",0.09791667759418488,0.15354090929031372,0.06702923774719238,0.14171908795833588,0.10215632617473602,0.2031860649585724,0.32807353138923645,0.2564448118209839,1.0,0.603908121585846
"mat, 9",0.04360469430685043,0.06879057735204697,0.08929375559091568,0.07057034224271774,0.05912165716290474,0.0831921249628067,0.23363783955574036,0.10355079174041748,0.603908121585846,0.9999998807907104
